,Rooms,Floor,TotalFloor,KitchenArea,LivingArea,TotalArea,WaterHeatType,Price,LocNum,OfferType_від власника,OfferType_від посередника,OfferType_від представника господаря (без комісійних),Walls_блочно-кирпичный,Walls_газоблок,Walls_железобетон,Walls_керамзитобетон,Walls_монолитно-каркасный,Walls_монолитно-кирпичный,Walls_монолитный железобетон,Walls_моноліт,Walls_монолітно-блоковий,Walls_панель,Walls_піноблок,Walls_силікатна цегла,Walls_цегла
322,1.0,4.0,16.0,8.0,18.0,42.0,False,8.77971129020447,6611.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
323,2.0,20.0,24.0,12.0,35.0,70.0,False,9.61587214452889,7576.8,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
324,1.0,8.0,17.0,9.7,16.5,51.4,False,9.472781556562168,7347.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
325,2.0,2.0,5.0,8.0,29.0,52.0,False,9.210440366976517,5784.200000000003,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
326,2.0,10.0,14.0,9.0,30.0,50.0,False,9.472781556562168,3680.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
327,1.0,6.0,16.0,10.0,17.0,45.0,False,9.210440366976517,11280.2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
328,1.0,5.0,9.0,6.0,12.0,27.0,False,8.45553053102413,6527.8,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
329,2.0,10.0,26.0,9.0,29.0,54.0,False,9.61587214452889,6381.2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
330,2.0,3.0,9.0,8.0,30.0,56.0,False,9.137877200242468,5786.2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
331,2.0,10.0,25.0,9.0,28.0,54.0,False,9.61587214452889,6381.2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
332,2.0,1.0,9.0,7.0,33.0,47.0,False,8.962007209588313,4794.200000000002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
333,2.0,14.0,25.0,26.0,50.0,76.0,False,9.798182590890704,2434.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
334,1.0,17.0,25.0,15.0,25.0,55.0,False,9.305741456739435,5518.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
335,1.0,7.0,9.0,9.0,16.0,30.0,False,8.922791623969637,2759.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
